source,target,value
2,1,1
2,123,1
8,9,1
8,22,1
9,22,1
13,16,1
21,20,1
22,16,1
22,34,1
23,22,1
43,32,1
44,32,1
44,43,1
45,13,1
45,16,1
45,32,1
45,43,1
46,32,1
46,44,1
46,65,1
46,84,1
46,141,1
46,173,1
47,32,1
47,37,1
47,43,1
47,44,1
48,16,1
48,32,1
48,43,1
48,44,1
48,67,1
48,141,1
49,13,1
49,16,1
49,32,1
49,43,1
49,44,1
49,141,1
60,14,1
60,37,1
62,34,1
66,34,1
67,13,1
67,16,1
68,9,1
68,113,1
70,71,1
71,70,1
72,21,1
72,70,1
72,71,1
73,21,1
73,70,1
73,71,1
74,70,1
75,70,1
78,21,1
78,174,1
79,21,1
79,141,1
80,32,1
80,43,1
80,44,1
81,32,1
81,43,1
83,32,1
84,32,1
84,43,1
84,44,1
84,141,1
84,173,1
85,32,1
85,39,1
86,32,1
86,43,1
86,44,1
86,341,1
87,32,1
87,43,1
87,44,1
88,32,1
90,34,1
90,65,1
90,66,1
91,9,1
91,141,1
93,32,1
93,173,1
94,16,1
94,30,1
94,34,1
94,42,1
94,65,1
94,66,1
94,68,1
94,112,1
94,113,1
94,141,1
94,143,1
94,147,1
94,340,1
94,341,1
94,342,1
99,9,1
100,34,1
105,34,1
111,37,1
112,9,1
112,68,1
112,113,1
113,9,1
113,68,1
113,112,1
114,9,1
114,141,1
115,9,1
116,8,1
116,98,1
117,8,1
117,141,1
118,340,1
118,341,1
118,342,1
119,9,1
121,21,1
121,120,1
124,32,1
127,174,1
129,32,1
129,322,1
129,380,1
129,381,1
129,382,1
129,383,1
132,1,1
133,35,1
133,37,1
134,68,1
135,9,1
136,173,1
136,350,1
137,13,1
137,141,1
137,173,1
140,11,1
141,9,1
141,16,1
141,143,1
142,141,1
143,141,1
144,141,1
145,9,1
145,22,1
145,23,1
145,141,1
146,9,1
146,66,1
146,141,1
147,9,1
147,141,1
148,9,1
149,8,1
149,141,1
149,143,1
149,147,1
150,151,1
152,141,1
152,144,1
157,158,1
158,157,1
173,141,1
174,16,1
174,32,1
174,141,1
174,143,1
175,32,1
175,43,1
175,44,1
178,13,1
178,16,1
178,141,1
178,173,1
180,141,1
197,13,1
197,16,1
197,65,1
197,68,1
197,112,1
197,199,1
199,16,1
199,65,1
199,68,1
199,112,1
301,300,1
320,8,1
320,9,1
322,16,1
322,66,1
322,141,1
322,143,1
322,146,1
322,340,1
322,341,1
322,342,1
324,340,1
325,141,1
326,68,1
326,341,1
327,340,1
327,341,1
328,32,1
328,327,1
329,32,1
329,380,1
330,37,1
330,141,1
330,339,1
330,340,1
331,339,1
337,16,1
337,66,1
337,141,1
337,340,1
337,341,1
338,35,1
338,37,1
338,133,1
351,32,1
351,43,1
351,44,1
351,141,1
351,173,1
351,341,1
351,350,1
371,32,1
371,174,1
371,340,1
371,341,1
371,342,1
371,370,1
372,174,1
372,340,1
372,370,1
372,371,1
374,327,1
383,32,1
383,380,1
388,32,1
388,327,1
388,379,1
388,380,1
388,389,1
388,390,1
390,32,1
390,327,1
390,328,1
390,380,1
